id1,id2,7/24/2015,8/1/2015,8/22/2015,8/30/2015
HN_NET115,WP_SAND17,,,,
HN_NET115,XO_SAND17,,,,
HN_NET115,YN_SAND17,,,,
HN_NET115,ZM_SAND17,,,,
IH_NET116,AK_NET217,,,,
IH_NET116,DE_FSAN18,,,,
IH_NET116,ED_FSAN18,,,,
IH_NET116,PB_NET217,,,,
IH_NET116,SY_NET217,,,,
IH_NET116,UA_NET119,,,,
IH_NET116,VZ_NET119,,,,
IH_NET116,WP_SAND17,,,,
IH_NET116,XO_SAND17,,,,
IH_NET116,YN_SAND17,,,,
IH_NET116,ZM_SAND17,,,,
II_NET214,02_NET214,,,,
II_NET214,13_NET214,,,,
II_NET214,78_NET214,1,1,1,
II_NET214,89_NET214,,,1,
II_NET214,90_NET214,,1,1,
II_NET214,AK_NET217,,,,
II_NET214,AU_NET115,,,1,
II_NET214,CS_NET115,,,1,
II_NET214,DE_FSAN18,,,,
II_NET214,ED_FSAN18,,,,
II_NET214,FK_NET116,,,,
II_NET214,FP_NET215,,,,
II_NET214,GJ_NET116,,,,
II_NET214,GS_NET115,,,1,
II_NET214,HI_NET116,,,,
II_NET214,HN_NET115,,,,
II_NET214,IH_NET116,,,,
II_NET214,JP_NET115,,,,
II_NET214,KG_NET214,1,,1,
II_NET214,KK_NET215,,,,
II_NET214,KO_NET215,,,,
II_NET214,LN_NET215,,,,
II_NET214,ME_NET214,,1,1,
II_NET214,PB_NET217,,,,
II_NET214,SY_NET217,,,,
II_NET214,UA_NET119,,,,
II_NET214,VZ_NET119,,,,
II_NET214,WP_SAND17,,,,
II_NET214,XO_SAND17,,,,
II_NET214,YN_SAND17,,,,
II_NET214,ZM_SAND17,,,,
II_NET214,ZW_NET115,,,,
JP_NET115,AK_NET217,,,,
JP_NET115,DE_FSAN18,,,,
JP_NET115,ED_FSAN18,,,,
JP_NET115,FK_NET116,,,,
JP_NET115,FP_NET215,,,,
JP_NET115,GJ_NET116,,,,
JP_NET115,HI_NET116,,,,
JP_NET115,HN_NET115,,,,
JP_NET115,IH_NET116,,,,
JP_NET115,KK_NET215,,,,
JP_NET115,KO_NET215,,,,
JP_NET115,LN_NET215,,,,
JP_NET115,PB_NET217,,,,
JP_NET115,SY_NET217,,,,
JP_NET115,UA_NET119,,,,
JP_NET115,VZ_NET119,,,,
JP_NET115,WP_SAND17,,,,
JP_NET115,XO_SAND17,,,,
JP_NET115,YN_SAND17,,,,
JP_NET115,ZM_SAND17,,,,
KG_NET214,02_NET214,,,,1
KG_NET214,13_NET214,,,,
KG_NET214,78_NET214,1,,1,1
KG_NET214,89_NET214,,,1,
KG_NET214,90_NET214,,,1,
KG_NET214,AK_NET217,,,,
KG_NET214,AU_NET115,,,1,
KG_NET214,CS_NET115,,,1,1
KG_NET214,DE_FSAN18,,,,
KG_NET214,ED_FSAN18,,,,
KG_NET214,FK_NET116,,,,
KG_NET214,FP_NET215,,,,
KG_NET214,GJ_NET116,,,,
KG_NET214,GS_NET115,,,1,1
KG_NET214,IH_NET116,,,,
KG_NET214,HI_NET116,,,,
KG_NET214,HN_NET115,,,,
KG_NET214,JP_NET115,,,,1
KG_NET214,KK_NET215,,,,
KG_NET214,KO_NET215,,,,
KG_NET214,LN_NET215,,,,
KG_NET214,PB_NET217,,,,
KG_NET214,SY_NET217,,,,
KG_NET214,UA_NET119,,,,
KG_NET214,VZ_NET119,,,,
KG_NET214,WP_SAND17,,,,
KG_NET214,XO_SAND17,,,,
KG_NET214,YN_SAND17,,,,
KG_NET214,ZM_SAND17,,,,
KG_NET214,ZW_NET115,,,,1
KK_NET215,AK_NET217,,,,
KK_NET215,DE_FSAN18,,,,
KK_NET215,ED_FSAN18,,,,
KK_NET215,FK_NET116,,,,
KK_NET215,GJ_NET116,,,,
